bigram,frequency,probability,language
gg,1944,6.422e-05,es
íf,1940,6.408e-05,es
iy,1926,6.362e-05,es
íe,1902,6.283e-05,es
ñe,1900,6.276e-05,es
yy,1879,6.207e-05,es
pó,1867,6.167e-05,es
cé,1854,6.124e-05,es
gb,1851,6.115e-05,es
éf,1838,6.072e-05,es
fá,1835,6.062e-05,es
uñ,1823,6.022e-05,es
hs,1788,5.907e-05,es
jó,1780,5.88e-05,es
uh,1765,5.831e-05,es
ée,1763,5.824e-05,es
hm,1761,5.817e-05,es
ép,1758,5.808e-05,es
py,1743,5.758e-05,es
xd,1740,5.748e-05,es
óu,1705,5.633e-05,es
wn,1701,5.619e-05,es
hy,1692,5.59e-05,es
ém,1660,5.484e-05,es
mf,1655,5.467e-05,es
ku,1643,5.428e-05,es
zs,1640,5.418e-05,es
cy,1623,5.362e-05,es
eó,1593,5.263e-05,es
íq,1593,5.263e-05,es
lk,1592,5.259e-05,es
áu,1585,5.236e-05,es
óx,1572,5.193e-05,es
ky,1561,5.157e-05,es
pí,1544,5.101e-05,es
dw,1544,5.101e-05,es
hn,1516,5.009e-05,es
pg,1514,5.002e-05,es
fc,1504,4.969e-05,es
út,1495,4.939e-05,es
zy,1494,4.936e-05,es
xg,1479,4.886e-05,es
pé,1474,4.87e-05,es
eé,1469,4.853e-05,es
aé,1466,4.843e-05,es
bé,1462,4.83e-05,es
fs,1462,4.83e-05,es
ót,1455,4.807e-05,es
eí,1453,4.801e-05,es
kc,1441,4.761e-05,es
mv,1436,4.744e-05,es
zl,1435,4.741e-05,es
lz,1429,4.721e-05,es
íp,1429,4.721e-05,es
gy,1424,4.705e-05,es
bp,1424,4.705e-05,es
mr,1410,4.659e-05,es
éa,1351,4.464e-05,es
uk,1347,4.451e-05,es
xh,1343,4.437e-05,es
nx,1341,4.431e-05,es
zz,1340,4.427e-05,es
íg,1336,4.414e-05,es
lw,1334,4.408e-05,es
hc,1332,4.401e-05,es
tú,1329,4.391e-05,es
bá,1324,4.375e-05,es
dj,1320,4.361e-05,es
uu,1319,4.358e-05,es
rú,1314,4.342e-05,es
xl,1308,4.322e-05,es
zá,1287,4.252e-05,es
fp,1286,4.249e-05,es
vs,1281,4.233e-05,es
ír,1272,4.203e-05,es
kl,1265,4.18e-05,es
mx,1253,4.14e-05,es
pw,1252,4.137e-05,es
zt,1251,4.134e-05,es
ux,1248,4.124e-05,es
yw,1245,4.114e-05,es
gé,1244,4.111e-05,es
pn,1236,4.084e-05,es
xf,1232,4.071e-05,es
íl,1224,4.044e-05,es
tz,1219,4.028e-05,es
zg,1217,4.021e-05,es
lú,1214,4.011e-05,es
hl,1209,3.995e-05,es
vc,1209,3.995e-05,es
bú,1159,3.83e-05,es
fd,1152,3.807e-05,es
vd,1142,3.774e-05,es
kt,1139,3.764e-05,es
éi,1137,3.757e-05,es
kp,1116,3.688e-05,es
ái,1112,3.675e-05,es
áq,1109,3.665e-05,es
kr,1102,3.642e-05,es
cb,1096,3.622e-05,es
dá,1080,3.569e-05,es
fó,1078,3.562e-05,es
hh,1074,3.549e-05,es
cf,1069,3.533e-05,es
áx,1063,3.513e-05,es
gf,1060,3.503e-05,es
fm,1058,3.496e-05,es
bm,1047,3.46e-05,es
kd,1043,3.447e-05,es
wc,1032,3.411e-05,es
íb,1021,3.374e-05,es
úa,1010,3.338e-05,es
ég,1003,3.315e-05,es
tj,991,3.275e-05,es
rx,986,3.259e-05,es
kb,983,3.249e-05,es
cv,977,3.229e-05,es
bó,946,3.127e-05,es
mw,940,3.107e-05,es
kn,933,3.084e-05,es
ñí,929,3.07e-05,es
bw,927,3.064e-05,es
pv,920,3.041e-05,es
wr,910,3.008e-05,es
xr,910,3.008e-05,es
wp,908,3.001e-05,es
xn,904,2.988e-05,es
zh,897,2.965e-05,es
kg,874,2.889e-05,es
bn,873,2.886e-05,es
fé,867,2.866e-05,es
kh,861,2.846e-05,es
eá,859,2.839e-05,es
pb,856,2.829e-05,es
éb,853,2.82e-05,es
tx,845,2.793e-05,es
hb,842,2.783e-05,es
lx,841,2.78e-05,es
bv,832,2.75e-05,es
nº,828,2.737e-05,es
vá,824,2.724e-05,es
xb,824,2.724e-05,es
wd,808,2.671e-05,es
oé,799,2.641e-05,es
zn,794,2.625e-05,es
pf,785,2.595e-05,es
áv,775,2.562e-05,es
vm,760,2.513e-05,es
wt,752,2.486e-05,es
vr,751,2.483e-05,es
wm,751,2.483e-05,es
fb,749,2.476e-05,es
zr,748,2.473e-05,es
jp,742,2.453e-05,es
uq,738,2.44e-05,es
gü,736,2.433e-05,es
vp,735,2.43e-05,es
gv,729,2.41e-05,es
zv,708,2.341e-05,es
wf,690,2.281e-05,es
bh,689,2.278e-05,es
wb,681,2.252e-05,es
há,675,2.232e-05,es
gá,675,2.232e-05,es
zf,672,2.222e-05,es
yk,668,2.209e-05,es
fú,667,2.205e-05,es
jc,666,2.202e-05,es
vl,663,2.192e-05,es
tq,647,2.139e-05,es
éu,642,2.123e-05,es
fg,641,2.12e-05,es
kf,630,2.083e-05,es
úc,629,2.08e-05,es
ºd,629,2.08e-05,es
qs,629,2.08e-05,es
oú,627,2.073e-05,es
kk,626,2.07e-05,es
hf,626,2.07e-05,es
fy,623,2.06e-05,es
yó,623,2.06e-05,es
wl,614,2.03e-05,es
zb,609,2.014e-05,es
gw,600,1.984e-05,es
iw,600,1.984e-05,es
fh,599,1.981e-05,es
cg,596,1.971e-05,es
oá,584,1.931e-05,es
üe,577,1.908e-05,es
yz,574,1.898e-05,es
eú,571,1.889e-05,es
wy,570,1.885e-05,es
hw,563,1.862e-05,es
óf,549,1.816e-05,es
bg,545,1.803e-05,es
mj,540,1.786e-05,es
óh,531,1.756e-05,es
hé,525,1.737e-05,es
kw,524,1.733e-05,es
bf,522,1.727e-05,es
ív,521,1.723e-05,es
oí,517,1.71e-05,es
js,516,1.707e-05,es
ñi,511,1.69e-05,es
hg,506,1.674e-05,es
vy,499,1.651e-05,es
vó,493,1.631e-05,es
úp,491,1.624e-05,es
hk,486,1.608e-05,es
mk,484,1.601e-05,es
xw,482,1.595e-05,es
áz,479,1.585e-05,es
xq,473,1.565e-05,es
éh,468,1.548e-05,es
aá,464,1.535e-05,es
mq,464,1.535e-05,es
hv,458,1.515e-05,es
éq,456,1.509e-05,es
óy,448,1.482e-05,es
zj,444,1.469e-05,es
kv,443,1.466e-05,es
fv,440,1.456e-05,es
cú,438,1.449e-05,es
fn,438,1.449e-05,es
ão,438,1.449e-05,es
áh,437,1.446e-05,es
yx,429,1.42e-05,es
px,422,1.397e-05,es
tk,416,1.377e-05,es
cq,414,1.37e-05,es
wu,410,1.357e-05,es
dx,407,1.347e-05,es
íy,404,1.337e-05,es
év,395,1.307e-05,es
ób,391,1.294e-05,es
úe,384,1.271e-05,es
úr,378,1.251e-05,es
fw,376,1.245e-05,es
jm,375,1.241e-05,es
hq,367,1.215e-05,es
áo,367,1.215e-05,es
íh,364,1.205e-05,es
hó,359,1.189e-05,es
jé,359,1.189e-05,es
pj,357,1.182e-05,es
dk,357,1.182e-05,es
ql,355,1.175e-05,es
vv,355,1.175e-05,es
xj,340,1.126e-05,es
vt,333,1.103e-05,es
gj,331,1.096e-05,es
wg,328,1.086e-05,es
úd,325,1.076e-05,es
gk,323,1.07e-05,es
xk,321,1.063e-05,es
oº,317,1.05e-05,es
uw,317,1.05e-05,es
zk,316,1.047e-05,es
qe,316,1.047e-05,es
pq,314,1.04e-05,es
vb,311,1.03e-05,es
hj,310,1.027e-05,es
wv,308,1.02e-05,es
vn,305,1.01e-05,es
éo,302,1e-05,es
áy,302,1e-05,es
jd,296,9.81e-06,es
ñó,295,9.77e-06,es
vf,294,9.74e-06,es
aç,293,9.71e-06,es
yé,291,9.64e-06,es
íz,290,9.61e-06,es
cw,286,9.48e-06,es
íu,285,9.44e-06,es
zú,285,9.44e-06,es
wx,281,9.31e-06,es
gq,280,9.28e-06,es
xz,279,9.24e-06,es
dz,278,9.21e-06,es
éj,274,9.08e-06,es
cz,273,9.05e-06,es
ça,273,9.05e-06,es
ói,272,9.01e-06,es
éy,265,8.78e-06,es
kj,264,8.75e-06,es
pk,264,8.75e-06,es
çã,263,8.72e-06,es
cj,261,8.65e-06,es
qp,259,8.58e-06,es
jr,258,8.55e-06,es
qa,255,8.45e-06,es
dú,253,8.39e-06,es
vh,253,8.39e-06,es
jj,250,8.29e-06,es
hz,248,8.22e-06,es
gx,245,8.12e-06,es
aó,244,8.09e-06,es
cx,242,8.02e-06,es
fj,238,7.89e-06,es
qt,237,7.86e-06,es
bq,236,7.82e-06,es
ºe,236,7.82e-06,es
vg,230,7.63e-06,es
qd,228,7.56e-06,es
ºc,228,7.56e-06,es
yú,227,7.53e-06,es
yá,224,7.43e-06,es
qm,216,7.16e-06,es
nç,216,7.16e-06,es
ès,214,7.1e-06,es
fx,214,7.1e-06,es
zw,211,7e-06,es
já,207,6.87e-06,es
gz,207,6.87e-06,es
fk,206,6.83e-06,es
áj,206,6.83e-06,es
jl,204,6.77e-06,es
jt,203,6.74e-06,es
mz,197,6.54e-06,es
qn,197,6.54e-06,es
qc,195,6.47e-06,es
jb,195,6.47e-06,es
zx,194,6.44e-06,es
qr,193,6.41e-06,es
kq,192,6.37e-06,es
aº,192,6.37e-06,es
óo,190,6.31e-06,es
jn,190,6.31e-06,es
sº,188,6.24e-06,es
wq,186,6.17e-06,es
jf,183,6.07e-06,es
bk,182,6.04e-06,es
uó,181,6.01e-06,es
ür,180,5.98e-06,es
fq,179,5.94e-06,es
ój,178,5.91e-06,es
oó,175,5.81e-06,es
pz,174,5.78e-06,es
hú,173,5.74e-06,es
wj,172,5.71e-06,es
aª,172,5.71e-06,es
vw,166,5.51e-06,es
kx,165,5.48e-06,es
íi,164,5.45e-06,es
bx,163,5.41e-06,es
jí,154,5.12e-06,es
qi,153,5.08e-06,es
lº,153,5.08e-06,es
ñu,151,5.02e-06,es
wk,146,4.85e-06,es
eº,143,4.75e-06,es
jh,141,4.69e-06,es
qb,140,4.66e-06,es
wz,138,4.59e-06,es
qw,138,4.59e-06,es
jk,136,4.52e-06,es
ºa,131,4.36e-06,es
qx,129,4.29e-06,es
qv,129,4.29e-06,es
rà,124,4.13e-06,es
vx,122,4.06e-06,es
uú,121,4.03e-06,es
fü,120,3.99e-06,es
lè,119,3.96e-06,es
hx,118,3.93e-06,es
jv,118,3.93e-06,es
ºp,117,3.9e-06,es
qh,116,3.86e-06,es
ço,115,3.83e-06,es
jg,115,3.83e-06,es
bz,115,3.83e-06,es
úy,115,3.83e-06,es
qf,114,3.8e-06,es
qq,112,3.73e-06,es
ªe,112,3.73e-06,es
vj,110,3.66e-06,es
ºº,110,3.66e-06,es
fz,109,3.63e-06,es
vq,109,3.63e-06,es
jq,108,3.6e-06,es
vk,108,3.6e-06,es
tà,108,3.6e-06,es
rç,107,3.57e-06,es
kz,106,3.53e-06,es
xá,103,3.43e-06,es
úo,100,3.33e-06,es
ké,98,3.27e-06,es
èr,96,3.2e-06,es
qy,96,3.2e-06,es
úñ,95,3.17e-06,es
iè,92,3.07e-06,es
jy,91,3.04e-06,es
qo,91,3.04e-06,es
xí,91,3.04e-06,es
às,90,3e-06,es
ñá,87,2.91e-06,es
èn,87,2.91e-06,es
ºs,86,2.87e-06,es
vz,86,2.87e-06,es
jw,86,2.87e-06,es
íj,85,2.84e-06,es
xó,83,2.77e-06,es
ºm,83,2.77e-06,es
tü,82,2.74e-06,es
qz,81,2.71e-06,es
ªp,80,2.67e-06,es
íx,80,2.67e-06,es
hō,80,2.67e-06,es
új,79,2.64e-06,es
òn,79,2.64e-06,es
rè,79,2.64e-06,es
ºl,79,2.64e-06,es
àc,78,2.61e-06,es
sã,74,2.48e-06,es
àl,73,2.44e-06,es
ãn,72,2.41e-06,es
là,70,2.34e-06,es
nª,70,2.34e-06,es
üí,70,2.34e-06,es
àn,68,2.28e-06,es
àt,66,2.21e-06,es
üi,65,2.18e-06,es
ºy,65,2.18e-06,es
ñé,64,2.15e-06,es
mª,64,2.15e-06,es
jú,64,2.15e-06,es
àd,63,2.11e-06,es
iã,62,2.08e-06,es
úq,61,2.05e-06,es
áñ,61,2.05e-06,es
õe,61,2.05e-06,es
nü,60,2.01e-06,es
ià,59,1.98e-06,es
iú,59,1.98e-06,es
ül,59,1.98e-06,es
iç,58,1.95e-06,es
oë,57,1.91e-06,es
dè,57,1.91e-06,es
yº,56,1.88e-06,es
qg,56,1.88e-06,es
úh,56,1.88e-06,es
eà,56,1.88e-06,es
ºt,55,1.85e-06,es
ân,55,1.85e-06,es
rü,54,1.82e-06,es
sà,54,1.82e-06,es
éz,53,1.78e-06,es
rã,52,1.75e-06,es
ªd,52,1.75e-06,es
rº,52,1.75e-06,es
jz,52,1.75e-06,es
úz,52,1.75e-06,es
mü,52,1.75e-06,es
üm,51,1.72e-06,es
wá,51,1.72e-06,es
çõ,51,1.72e-06,es
ík,51,1.72e-06,es
ºr,50,1.68e-06,es
úv,50,1.68e-06,es
ãa,50,1.68e-06,es
ün,49,1.65e-06,es
ºn,48,1.62e-06,es
ôt,48,1.62e-06,es
ën,48,1.62e-06,es
kí,48,1.62e-06,es
mà,48,1.62e-06,es
ªi,47,1.58e-06,es
úi,47,1.58e-06,es
ºi,47,1.58e-06,es
ör,46,1.55e-06,es
es,2513460,0.02562214,fr
le,1763199,0.017974,fr
en,1761381,0.01795547,fr
de,1733452,0.01767076,fr
re,1632448,0.01664113,fr
on,1613788,0.01645091,fr
nt,1425920,0.01453579,fr
er,1366768,0.0139328,fr
te,1208305,0.01231743,fr
ou,1188245,0.01211294,fr
an,1142751,0.01164918,fr
ur,1089366,0.01110497,fr
ti,1033359,0.01053404,fr
se,1006939,0.01026471,fr
el,989984,0.01009187,fr
la,983661,0.01002742,fr
et,973624,0.0099251,fr
is,916754,0.00934537,fr
in,896255,0.0091364,fr
ne,886256,0.00903447,fr
me,822273,0.00838223,fr
ed,806116,0.00821753,fr
ai,793414,0.00808805,fr
ar,788118,0.00803406,fr
co,767993,0.00782891,fr
ra,767781,0.00782674,fr
ec,759454,0.00774186,fr
it,753003,0.0076761,fr
em,742589,0.00756994,fr
ns,742151,0.00756547,fr
qu,733061,0.00747281,fr
st,726809,0.00740908,fr
tr,694779,0.00708256,fr
ce,692172,0.00705599,fr
ie,676857,0.00689987,fr
at,675995,0.00689108,fr
ss,669627,0.00682617,fr
sa,646124,0.00658658,fr
ue,635838,0.00648172,fr
ri,635159,0.0064748,fr
eu,621991,0.00634057,fr
io,617175,0.00629147,fr
ta,615052,0.00626983,fr
nd,596224,0.0060779,fr
il,594410,0.00605941,fr
ep,589496,0.00600931,fr
li,573958,0.00585092,fr
pa,570917,0.00581992,fr
al,569582,0.00580631,fr
us,569238,0.0058028,fr
ma,569206,0.00580248,fr
po,564205,0.0057515,fr
au,563587,0.0057452,fr
si,558295,0.00569125,fr
sd,551014,0.00561703,fr
un,544127,0.00554682,fr
ro,542166,0.00552683,fr
or,522937,0.00533081,fr
ve,511697,0.00521623,fr
ch,509134,0.00519011,fr
nc,498308,0.00507975,fr
so,496919,0.00506559,fr
pr,493120,0.00502686,fr
sp,485347,0.00494762,fr
ir,464887,0.00473905,fr
ll,462837,0.00471816,fr
ea,444401,0.00453022,fr
as,425032,0.00433277,fr
ac,423817,0.00432039,fr
ui,417682,0.00425785,fr
na,412553,0.00420556,fr
rs,410680,0.00418647,fr
oi,407763,0.00415673,fr
rt,404656,0.00412506,fr
ut,401341,0.00409127,fr
su,401264,0.00409048,fr
om,391764,0.00399364,fr
to,385931,0.00393418,fr
sc,377891,0.00385222,fr
di,374435,0.00381699,fr
ts,361691,0.00368708,fr
da,361564,0.00368578,fr
pe,357155,0.00364084,fr
ee,356374,0.00363288,fr
no,356343,0.00363256,fr
du,350973,0.00357782,fr
ge,348596,0.00355359,fr
ca,344123,0.00350799,fr
lo,335169,0.00341671,fr
td,333559,0.0034003,fr
té,331841,0.00338279,fr
ic,330134,0.00336539,fr
vo,330031,0.00336434,fr
ni,325858,0.0033218,fr
sl,323577,0.00329854,fr
ré,320265,0.00326478,fr
rl,315993,0.00322123,fr
av,312772,0.0031884,fr
ap,304377,0.00310282,fr
vi,289488,0.00295104,fr
nn,288455,0.00294051,fr
mo,288106,0.00293695,fr
pl,286688,0.0029225,fr
ag,285031,0.00290561,fr
rd,284587,0.00290108,fr
he,277546,0.00282931,fr
am,273810,0.00279122,fr
tu,272965,0.00278261,fr
mi,272326,0.00277609,fr
ci,266141,0.00271304,fr
ha,261976,0.00267058,fr
ev,257530,0.00262526,fr
ct,256356,0.00261329,fr
tt,253607,0.00258527,fr
os,252621,0.00257522,fr
lu,241770,0.00246461,fr
bl,235457,0.00240025,fr
ot,235451,0.00240019,fr
dé,234334,0.0023888,fr
tl,230557,0.0023503,fr
rc,230228,0.00234695,fr
ée,228618,0.00233053,fr
mp,227844,0.00232264,fr
ol,227433,0.00231845,fr
ef,226225,0.00230614,fr
im,224336,0.00228688,fr
ul,223740,0.00228081,fr
mm,219880,0.00224146,fr
ei,216971,0.00221181,fr
fi,211788,0.00215897,fr
fa,211785,0.00215894,fr
tp,210699,0.00214787,fr
iq,207660,0.00211689,fr
és,201986,0.00205905,fr
rm,201463,0.00205372,fr
id,199988,0.00203868,fr
ad,199686,0.0020356,fr
va,199515,0.00203386,fr
do,197760,0.00201597,fr
ng,196709,0.00200526,fr
iv,193500,0.00197254,fr
fo,191806,0.00195527,fr
ux,191743,0.00195463,fr
ia,191115,0.00194823,fr
ab,187284,0.00190918,fr
sm,187228,0.00190861,fr
ér,184770,0.00188355,fr
éc,178886,0.00182357,fr
eb,176668,0.00180096,fr
ét,172126,0.00175466,fr
rr,169371,0.00172657,fr
uc,168749,0.00172023,fr
uv,168580,0.00171851,fr
oc,167503,0.00170753,fr
ho,164386,0.00167576,fr
ru,161367,0.00164498,fr
bo,160087,0.00163193,fr
gr,159685,0.00162783,fr
je,159119,0.00162206,fr
sé,155732,0.00158754,fr
np,155447,0.00158463,fr
up,153711,0.00156694,fr
tc,152502,0.00155461,fr
cl,150555,0.00153476,fr
ba,150094,0.00153006,fr
op,148309,0.00151187,fr
cu,145725,0.00148553,fr
ga,144531,0.00147335,fr
br,144260,0.00147059,fr
ig,141947,0.00144701,fr
bi,140800,0.00143532,fr
fr,139156,0.00141856,fr
um,138008,0.00140686,fr
éd,137743,0.00140416,fr
ud,137084,0.00139744,fr
cr,135938,0.00138576,fr
th,135470,0.00138099,fr
be,135374,0.00138001,fr
rn,135077,0.00137698,fr
ex,134582,0.00137193,fr
nf,134091,0.00136693,fr
né,131444,0.00133995,fr
ez,130355,0.00132884,fr
if,129061,0.00131565,fr
lé,126292,0.00128743,fr
eq,125869,0.00128311,fr
sr,123895,0.00126299,fr
él,123219,0.0012561,fr
hi,123058,0.00125446,fr
dr,122309,0.00124682,fr
eg,122281,0.00124654,fr
mb,121875,0.0012424,fr
ff,121842,0.00124206,fr
fe,121476,0.00123833,fr
sq,120831,0.00123176,fr
od,120509,0.00122848,fr
pi,119540,0.0012186,fr
sf,118615,0.00120917,fr
ls,118538,0.00120838,fr
ép,117570,0.00119851,fr
pp,117330,0.00119607,fr
ip,114386,0.00116606,fr
ua,112404,0.00114585,fr
gi,111054,0.00113209,fr
rp,109846,0.00111978,fr
eà,108950,0.00111064,fr
jo,105771,0.00107824,fr
rv,104110,0.0010613,fr
rg,102698,0.00104691,fr
gn,102252,0.00104236,fr
af,101548,0.00103519,fr
nu,99843,0.00101781,fr
nv,99115,0.00101039,fr
ej,97090,0.00098974,fr
sv,96857,0.00098737,fr
sn,96355,0.00098225,fr
nl,96268,0.00098136,fr
àl,96190,0.00098057,fr
sb,95330,0.0009718,fr
ub,93098,0.00094905,fr
pu,92411,0.00094204,fr
eo,92210,0.00094,fr
ib,91672,0.00093451,fr
mé,90695,0.00092455,fr
ob,89694,0.00091435,fr
cc,88703,0.00090425,fr
èr,88526,0.00090244,fr
sh,87276,0.0008897,fr
pt,85895,0.00087562,fr
vr,83854,0.00085482,fr
og,82710,0.00084315,fr
ph,82611,0.00084214,fr
tm,82173,0.00083768,fr
nm,80415,0.00081976,fr
iè,79298,0.00080837,fr
ég,78304,0.00079824,fr
ja,78252,0.00079771,fr
of,78037,0.00079552,fr
sà,76233,0.00077713,fr
lt,75874,0.00077347,fr
gu,74641,0.0007609,fr
ld,74106,0.00075544,fr
pé,71898,0.00073294,fr
mu,70843,0.00072218,fr
ès,70348,0.00071714,fr
êt,70024,0.00071383,fr
éa,68216,0.0006954,fr
ya,65959,0.00067239,fr
rè,65521,0.00066793,fr
év,65206,0.00066472,fr
eh,64499,0.00065751,fr
nr,64467,0.00065718,fr
ém,64102,0.00065346,fr
én,63857,0.00065097,fr
go,62935,0.00064157,fr
xp,62085,0.0006329,fr
ay,59759,0.00060919,fr
bu,57942,0.00059067,fr
oo,57823,0.00058946,fr
ps,57781,0.00058903,fr
ju,56921,0.00058026,fr
rf,56679,0.00057779,fr
ié,56099,0.00057188,fr
sg,55827,0.00056911,fr
tà,55601,0.0005668,fr
rb,54532,0.00055591,fr
ys,53228,0.00054261,fr
sj,52969,0.00053997,fr
xe,52614,0.00053636,fr
oy,52124,0.00053136,fr
nb,51354,0.00052351,fr
tq,51251,0.00052246,fr
tv,50430,0.00051409,fr
gé,50028,0.00050999,fr
ix,49893,0.00050862,fr
ye,49657,0.00050621,fr
tf,49015,0.00049967,fr
tb,48687,0.00049632,fr
uf,48047,0.0004898,fr
ds,47153,0.00048069,fr
ly,46723,0.0004763,fr
gl,46568,0.00047472,fr
hé,46494,0.00047397,fr
ov,46397,0.00047298,fr
tn,45421,0.00046303,fr
vé,45144,0.00046021,fr
rq,44676,0.00045544,fr
ug,44611,0.00045477,fr
ke,43715,0.00044564,fr
uj,43451,0.00044295,fr
lp,42144,0.00042962,fr
lc,41349,0.00042152,fr
cé,40969,0.00041765,fr
fl,40730,0.00041521,fr
éf,40459,0.00041245,fr
eé,40352,0.00041136,fr
ck,40176,0.00040956,fr
nq,39682,0.00040453,fr
fé,39658,0.00040428,fr
lm,39519,0.00040287,fr
sy,39257,0.00040019,fr
ew,38827,0.00039581,fr
xi,37819,0.00038554,fr
xd,37365,0.00038091,fr
ki,37111,0.00037832,fr
aq,37086,0.00037806,fr
ué,36867,0.00037583,fr
aa,35911,0.00036609,fr
ty,35867,0.00036564,fr
xt,35718,0.00036412,fr
hu,35709,0.00036403,fr
xc,35619,0.00036311,fr
nj,34564,0.00035235,fr
tj,34482,0.00035152,fr
ae,34277,0.00034943,fr
cs,33209,0.00033854,fr
rà,32713,0.00033349,fr
àc,32637,0.00033271,fr
ht,32357,0.00032986,fr
àp,32202,0.00032828,fr
ôt,32051,0.00032674,fr
èm,32050,0.00032673,fr
wi,31989,0.00032611,fr
fu,31750,0.00032367,fr
lh,31728,0.00032344,fr
we,31332,0.00031941,fr
éq,30237,0.00030825,fr
xa,29961,0.00030543,fr
ça,29719,0.00030296,fr
êm,29691,0.00030268,fr
aj,29465,0.00030038,fr
yp,29417,0.00029989,fr
dd,29302,0.00029871,fr
cd,29170,0.00029737,fr
wa,28731,0.00029289,fr
ms,28357,0.00028908,fr
ry,28354,0.00028905,fr
nh,28328,0.00028878,fr
éb,28232,0.00028781,fr
oe,28181,0.00028729,fr
uo,28075,0.00028621,fr
mê,28070,0.00028615,fr
yo,26986,0.0002751,fr
ow,26761,0.00027281,fr
dh,26699,0.00027218,fr
lf,26657,0.00027175,fr
oa,26461,0.00026975,fr
tg,25759,0.0002626,fr
yl,25676,0.00026175,fr
pd,25464,0.00025959,fr
fs,25125,0.00025613,fr
ka,24983,0.00025469,fr
àd,24469,0.00024945,fr
ah,24462,0.00024938,fr
lè,24390,0.00024864,fr
ey,24364,0.00024838,fr
sk,23876,0.0002434,fr
ln,23789,0.00024251,fr
ek,23628,0.00024087,fr
éo,23535,0.00023993,fr
yc,23444,0.000239,fr
cv,23395,0.0002385,fr
md,23246,0.00023698,fr
dm,23183,0.00023634,fr
ok,23145,0.00023595,fr
lq,23095,0.00023544,fr
rj,23067,0.00023515,fr
za,22990,0.00023437,fr
ze,22361,0.00022796,fr
rk,22137,0.00022567,fr
bé,22089,0.00022518,fr
às,22072,0.00022501,fr
ii,21875,0.000223,fr
dc,21874,0.00022299,fr
ao,21858,0.00022283,fr
rh,21775,0.00022198,fr
àm,21522,0.0002194,fr
ny,21470,0.00021887,fr
az,21463,0.0002188,fr
cm,21394,0.0002181,fr
zl,21055,0.00021464,fr
ak,20924,0.00021331,fr
hr,20888,0.00021294,fr
ww,20820,0.00021225,fr
rê,20759,0.00021163,fr
tê,20656,0.00021058,fr
lv,20546,0.00020946,fr
là,20253,0.00020647,fr
éj,20188,0.00020581,fr
ym,20079,0.00020469,fr
dl,20032,0.00020422,fr
aé,20003,0.00020392,fr
df,19940,0.00020328,fr
dp,19876,0.00020263,fr
lg,19862,0.00020248,fr
ij,19812,0.00020197,fr
lb,19673,0.00020056,fr
nç,19479,0.00019858,fr
vu,19476,0.00019855,fr
iu,19408,0.00019785,fr
bs,18983,0.00019352,fr
nà,18951,0.0001932,fr
cp,18812,0.00019178,fr
uu,18750,0.00019115,fr
àt,18503,0.00018863,fr
sw,18451,0.0001881,fr
km,18435,0.00018794,fr
gs,18382,0.0001874,fr
hn,18223,0.00018577,fr
xs,18176,0.0001853,fr
ik,17914,0.00018262,fr
zv,17767,0.00018113,fr
àv,17656,0.00017999,fr
hô,17619,0.00017962,fr
ax,17445,0.00017784,fr
éu,17402,0.00017741,fr
éà,17114,0.00017447,fr
tè,17069,0.00017401,fr
oj,16860,0.00017188,fr
gh,16810,0.00017137,fr
ml,16711,0.00017036,fr
hy,16600,0.00016923,fr
ko,16567,0.00016889,fr
zo,16365,0.00016683,fr
aî,16362,0.0001668,fr
xm,16299,0.00016616,fr
àu,15961,0.00016272,fr
xl,15721,0.00016027,fr
dt,15670,0.00015975,fr
lr,15531,0.00015833,fr
mc,15519,0.00015821,fr
yn,15284,0.00015581,fr
yr,15186,0.00015482,fr
nk,15119,0.00015413,fr
oq,15000,0.00015292,fr
wo,14959,0.0001525,fr
ox,14738,0.00015025,fr
ft,14581,0.00014865,fr
èt,14511,0.00014793,fr
tw,14349,0.00014628,fr
pc,14336,0.00014615,fr
iz,14215,0.00014492,fr
ît,14178,0.00014454,fr
èc,14169,0.00014445,fr
zi,14168,0.00014444,fr
uà,14114,0.00014389,fr
gt,13941,0.00014212,fr
zd,13860,0.0001413,fr
dè,13663,0.00013929,fr
fd,13253,0.00013511,fr
où,13192,0.00013449,fr
yd,13149,0.00013405,fr
zp,13134,0.0001339,fr
yt,13064,0.00013318,fr
cy,12927,0.00013179,fr
uh,12912,0.00013163,fr
gm,12809,0.00013058,fr
ço,12588,0.00012833,fr
àa,12542,0.00012786,fr
cè,12525,0.00012769,fr
by,12514,0.00012758,fr
éi,12492,0.00012735,fr
db,12335,0.00012575,fr
oû,12305,0.00012545,fr
hm,12292,0.00012531,fr
ks,12220,0.00012458,fr
mn,12211,0.00012449,fr
ût,12098,0.00012334,fr
mè,11960,0.00012193,fr
ât,11954,0.00012187,fr
oh,11870,0.00012101,fr
dg,11727,0.00011955,fr
hè,11570,0.00011795,fr
àr,11542,0.00011767,fr
gd,11508,0.00011732,fr
dv,11489,0.00011713,fr
èg,11437,0.0001166,fr
zu,11353,0.00011574,fr
ws,11335,0.00011556,fr
àh,11287,0.00011507,fr
uq,11226,0.00011445,fr
èl,11010,0.00011225,fr
bj,10988,0.00011202,fr
gp,10899,0.00011111,fr
àb,10816,0.00011027,fr
èn,10730,0.00010939,fr
dy,10607,0.00010814,fr
hl,10484,0.00010688,fr
cb,10480,0.00010684,fr
bt,10457,0.00010661,fr
